"ii","Dim2","rr","Val"
"oil","dwe","ROW",6.57142918498721E-5
"oil","oil","USA",0.0771923586726189
"oil","oil","ROW",10.0614915969456
"oil","gas","USA",0.395135566592216
"oil","gas","ROW",5.18231782972771
"oil","crop","USA",1.48292394896998E-6
"oil","crop","ROW",0.00615964850203454
"oil","live","USA",1.19760784400569E-6
"oil","live","ROW",0.00928029710416922
"oil","fors","USA",5.86353098697145E-6
"oil","fors","ROW",0.0361543489398173
"oil","food","USA",0.000919303194677923
"oil","food","ROW",4.31245604464834
"oil","coal","USA",1.9061257262365E-5
"oil","coal","ROW",0.0144973507024133
"oil","roil","ROW",3.90046279788976
"oil","elec","USA",0.0454529039561749
"oil","elec","ROW",100.752581214854
"oil","eint","USA",0.0142314493496087
"oil","eint","ROW",8.50605804621603
"oil","othr","USA",0.0040932492634056
"oil","othr","ROW",9.5294880121603
"oil","serv","USA",0.00148985167925275
"oil","serv","ROW",0.456454406040166
"gas","dwe","USA",0.0342669896781445
"gas","dwe","ROW",0.02704205638247
"gas","oil","USA",22.3001919984818
"gas","oil","ROW",118.075987170259
"gas","gas","USA",70.6926094740629
"gas","gas","ROW",241.603413587463
"gas","c","USA",261.912926785648
"gas","c","ROW",592.098368913743
"gas","g","ROW",0.0308398833553838
"gas","crop","USA",3.0832826503347
"gas","crop","ROW",3.70600106274492
"gas","live","USA",0.0460615109295759
"gas","live","ROW",1.67392110772107
"gas","fors","USA",0.0482385316863656
"gas","fors","ROW",0.986974669052415
"gas","food","USA",35.8520103458859
"gas","food","ROW",47.2290487718587
"gas","coal","USA",0.104059513891116
"gas","coal","ROW",0.249361785005476
"gas","roil","USA",16.8139148950577
"gas","roil","ROW",118.024034611123
"gas","elec","USA",417.416595458984
"gas","elec","ROW",1345.42177478933
"gas","eint","USA",122.481770956889
"gas","eint","ROW",389.477128327869
"gas","othr","USA",50.1832011583901
"gas","othr","ROW",129.640851461423
"gas","serv","USA",142.841579154134
"gas","serv","ROW",119.760893119515
"gas","tran","USA",39.9030562107364
"gas","tran","ROW",136.348300053034
"coal","dwe","USA",0.00025291001657024
"coal","dwe","ROW",0.0301563926632298
"coal","oil","USA",0.000271182856522501
"coal","oil","ROW",0.164938276522662
"coal","gas","ROW",1.25924630484184
"coal","c","USA",0.246664568781853
"coal","c","ROW",252.415995808016
"coal","g","USA",0.00288669345900416
"coal","g","ROW",0.0146200354211032
"coal","crop","USA",0.00057584589922044
"coal","crop","ROW",21.6509408440861
"coal","live","USA",0.000178167982085142
"coal","live","ROW",15.0939329008452
"coal","fors","USA",0.000156289650476538
"coal","fors","ROW",3.17017699281951
"coal","food","USA",15.3433820903301
"coal","food","ROW",77.5893683876548
"coal","coal","USA",1.05136466026306
"coal","coal","ROW",151.624451983706
"coal","roil","ROW",29.9894717643074
"coal","elec","USA",1696.65295410156
"coal","elec","ROW",6033.07995225358
"coal","eint","USA",53.8967721834779
"coal","eint","ROW",1368.76769186719
"coal","othr","USA",2.42933333851397
"coal","othr","ROW",172.914201898817
"coal","serv","USA",4.93643603101373
"coal","serv","ROW",142.806055070148
"coal","tran","USA",0.221357092144899
"coal","tran","ROW",18.1166225613597
"roil","dwe","USA",0.00683557940647006
"roil","dwe","ROW",0.0811127806476861
"roil","oil","USA",0.00954833440482616
"roil","oil","ROW",15.9638814318205
"roil","gas","USA",0.018951487261802
"roil","gas","ROW",11.6458270475061
"roil","c","USA",623.603393554688
"roil","c","ROW",1432.68551454146
"roil","g","USA",0.00013299695274327
"roil","g","ROW",0.027267661179053
"roil","crop","USA",29.5145502239466
"roil","crop","ROW",139.154883323664
"roil","live","USA",10.1741186380386
"roil","live","ROW",67.7789296437751
"roil","fors","USA",0.651314437389374
"roil","fors","ROW",16.646505059638
"roil","food","USA",8.70405914634466
"roil","food","ROW",39.0797772715202
"roil","coal","USA",0.024069681763649
"roil","coal","ROW",14.1443951709673
"roil","roil","USA",112.507476806641
"roil","roil","ROW",347.565802959503
"roil","elec","USA",22.3679485321045
"roil","elec","ROW",536.792306007939
"roil","eint","USA",52.3352588415146
"roil","eint","ROW",669.532952858002
"roil","othr","USA",29.4115192294121
"roil","othr","ROW",228.507569857859
"roil","serv","USA",41.4197730571032
"roil","serv","ROW",234.386545004886
"roil","tran","USA",872.626636505127
"roil","tran","ROW",2476.50317930241
