"ii","rr","Val"
"dwe","USA",-0.870472505037043
"dwe","ROW",-0.776226208858185
"oil","USA",-0.844433710988841
"oil","ROW",-0.500807155864332
"gas","USA",-0.856601497923242
"gas","ROW",-0.66703544640457
"crop","USA",-0.00771482965475357
"crop","ROW",-0.137411577314411
"live","USA",-0.778571195971148
"live","ROW",-0.322015986903207
"fors","USA",-0.855805240203194
"fors","ROW",-0.414953831375384
"food","USA",-0.744406598282303
"food","ROW",-0.447783515395406
"coal","USA",-0.856360079064293
"coal","ROW",-0.502666750803706
"roil","USA",-0.847556955365834
"roil","ROW",-0.636820704658173
"elec","USA",-0.85819767947341
"elec","ROW",-0.672542543674822
"eint","USA",-0.858273977399259
"eint","ROW",-0.658370607233996
"othr","USA",-0.836020805556447
"othr","ROW",-0.626721565063075
"serv","USA",-0.87742290573757
"serv","ROW",-0.751572550133808
"tran","USA",-0.846115889075378
"tran","ROW",-0.629750915026339
