"ii","Dim2","rr","Val"
"oil","dwe","ROW",0.00134554515466334
"oil","oil","USA",0.0253954268991947
"oil","oil","ROW",3.31011838345751
"oil","gas","USA",0.153321207500994
"oil","gas","ROW",1.99939188028759
"oil","c","USA",4.64146469312254E-5
"oil","c","ROW",0.129852822348539
"oil","g","ROW",0.000102701961964158
"oil","crop","USA",8.40906523080776E-7
"oil","crop","ROW",0.0124229935844369
"oil","live","USA",6.79115260027174E-7
"oil","live","ROW",0.00473059360285788
"oil","fors","USA",3.32497279487143E-6
"oil","fors","ROW",0.0128274292392234
"oil","food","USA",6.39084544218349E-5
"oil","food","ROW",0.342939556000374
"oil","coal","USA",6.27094095762004E-6
"oil","coal","ROW",0.00476946644340615
"oil","roil","USA",289.576446533203
"oil","roil","ROW",1366.30893548843
"oil","elec","USA",0.0150202522054315
"oil","elec","ROW",33.3484862383922
"oil","eint","USA",0.0259055911374162
"oil","eint","ROW",7.51763836326006
"oil","othr","USA",0.00110098160234884
"oil","othr","ROW",1.51391806536878
"oil","serv","USA",0.000523763113449149
"oil","serv","ROW",0.20709001426178
"oil","tran","USA",0.0129902462498421
"oil","tran","ROW",0.109804788728184
"gas","dwe","USA",0.0182501282542944
"gas","dwe","ROW",0.0144022286148129
"gas","oil","USA",9.99401378631592
"gas","oil","ROW",52.9167171055283
"gas","gas","USA",31.6814687475562
"gas","gas","ROW",108.587287782924
"gas","c","USA",117.378412913531
"gas","c","ROW",265.891862353418
"gas","g","ROW",0.0138392645324075
"gas","crop","USA",1.38179820685809
"gas","crop","ROW",1.66452828944659
"gas","live","USA",0.0206428408382635
"gas","live","ROW",0.752668777812573
"gas","fors","USA",0.0216184910386801
"gas","fors","ROW",0.44234345073221
"gas","food","USA",15.6339166192829
"gas","food","ROW",17.784609295352
"gas","coal","USA",0.0466351192153525
"gas","coal","ROW",0.111753527851079
"gas","roil","USA",30.9700167179108
"gas","roil","ROW",282.27860668245
"gas","elec","USA",187.068641662598
"gas","elec","ROW",603.745446898343
"gas","eint","USA",63.1992420973256
"gas","eint","ROW",310.460761441005
"gas","othr","USA",21.859824752537
"gas","othr","ROW",53.0844425240292
"gas","serv","USA",64.0156231527217
"gas","serv","ROW",53.7642312793167
"gas","tran","USA",17.8828797802016
