"ii","Dim2","rr","Val"
"oil","dwe","ROW",0.000861217709029916
"oil","oil","USA",0.00527810305356979
"oil","oil","ROW",1.65156349160617
"oil","gas","USA",0.00897596101276577
"oil","gas","ROW",0.185872243459755
"oil","c","USA",5.8118712331634E-5
"oil","c","ROW",0.0849808000903067
"oil","crop","ROW",0.000701983615499557
"oil","live","ROW",0.000290110769867624
"oil","fors","ROW",4.20556212930023E-5
"oil","food","USA",6.10809113368305E-5
"oil","food","ROW",0.0649785816387976
"oil","coal","USA",7.8360091038121E-7
"oil","coal","ROW",0.00183788761466985
"oil","roil","USA",471.146331787109
"oil","roil","ROW",1560.78849465889
"oil","elec","USA",0.00222725537605584
"oil","elec","ROW",11.1281574863125
"oil","eint","USA",0.028868216695173
"oil","eint","ROW",1.6543524384029
"oil","othr","USA",0.000772173461086822
"oil","othr","ROW",0.27839169300762
"oil","serv","USA",0.00301600718375994
"oil","serv","ROW",0.303290904988387
"oil","tran","USA",0.00128980597946793
"oil","tran","ROW",0.0207737144789348
"gas","dwe","ROW",0.00477909200833437
"gas","oil","USA",2.34621533937752
"gas","oil","ROW",12.2774991501764
"gas","gas","USA",4.79287944367388
"gas","gas","ROW",25.5766070598257
"gas","c","USA",0.792305589886382
"gas","c","ROW",73.8214759484753
"gas","g","ROW",0.00148643806096516
"gas","crop","USA",0.0078436123976644
"gas","crop","ROW",2.48530089800386
"gas","live","USA",0.00284644271141588
"gas","live","ROW",1.01244845006397
"gas","fors","USA",0.00138467281067278
"gas","fors","ROW",0.366115999878843
"gas","food","USA",0.0931582022985822
"gas","food","ROW",14.9608843357432
"gas","coal","USA",0.00403590584392077
"gas","coal","ROW",0.0362357428366522
"gas","roil","USA",45.2799964298028
"gas","roil","ROW",49.7853338807774
"gas","elec","USA",10.1932507827878
"gas","elec","ROW",326.37481104546
"gas","eint","USA",17.3000616503414
"gas","eint","ROW",131.004145572274
"gas","othr","USA",0.413904660547814
"gas","othr","ROW",27.2460772132996
"gas","serv","USA",2.43517022227024
"gas","serv","ROW",71.4064505096316
"gas","tran","USA",1.40955810284686
"gas","tran","ROW",15.4403413088136
"coal","dwe","ROW",0.000570977618053803
"coal","oil","ROW",0.00340178073929565
"coal","gas","USA",0.00175421952735633
"coal","gas","ROW",0.323261550804773
"coal","c","USA",0.000716095441021025
"coal","c","ROW",8.18771845624497
"coal","g","ROW",0.00043685427976925
"coal","crop","ROW",0.265384263564329
"coal","live","ROW",0.230758170643867
"coal","fors","ROW",0.0560226104898902
"coal","food","USA",0.0104490810754214
"coal","food","ROW",2.23352575106492
"coal","coal","USA",0.000205252144951373
"coal","coal","ROW",1.810766102446
"coal","roil","USA",4.3732795715332
"coal","roil","ROW",164.042913742132
"coal","elec","USA",2.18563222885132
"coal","elec","ROW",420.472819620513
"coal","eint","USA",0.0547736986700329
"coal","eint","ROW",77.12159466956
"coal","othr","USA",0.0175193982111068
"coal","othr","ROW",4.65485628883016
"coal","serv","USA",0.0374025274068117
"coal","serv","ROW",4.35358561235807
"coal","tran","USA",7.02289935361478E-5
"coal","tran","ROW",0.311290920421243
"roil","dwe","USA",0.000365566462278366
"roil","dwe","ROW",0.0055745161134837
"roil","oil","USA",0.000236840001889504
"roil","oil","ROW",0.723112097578792
"roil","gas","USA",0.00113583216443658
"roil","gas","ROW",0.937511846667178
"roil","c","USA",24.7625846862793
"roil","c","ROW",171.307399816345
"roil","g","USA",6.84210463077761E-5
"roil","g","ROW",0.000997316139205395
"roil","crop","USA",0.969074657186866
"roil","crop","ROW",12.9247083689311
"roil","live","USA",0.215849835425615
"roil","live","ROW",8.20166305238303
"roil","fors","USA",0.029054444283247
"roil","fors","ROW",1.7491927552984
"roil","food","USA",0.365380222443491
"roil","food","ROW",5.47304518591801
"roil","coal","USA",0.000699786527547985
"roil","coal","ROW",0.969603117476481
"roil","roil","USA",14.4885683059692
"roil","roil","ROW",154.910121634799
"roil","elec","USA",3.80988311767578
"roil","elec","ROW",68.9522601689878
"roil","eint","USA",27.3376122266054
"roil","eint","ROW",162.552296314995
"roil","othr","USA",1.08270332869142
"roil","othr","ROW",22.6737405304797
"roil","serv","USA",2.28296242840588
"roil","serv","ROW",28.1025839220339
"roil","tran","USA",41.2756433486938
"roil","tran","ROW",375.131334445668
"elec","dwe","USA",0.000133221168653108
"elec","dwe","ROW",0.000736537036061691
"elec","oil","USA",0.00953592546284199
"elec","oil","ROW",0.0674382074605546
"elec","gas","USA",0.013922746758908
"elec","gas","ROW",0.0986193375917424
"elec","c","USA",2.14938449859619
"elec","c","ROW",13.1359696787322
"elec","g","ROW",5.884003689971E-5
"elec","crop","USA",0.00779781787059619
"elec","crop","ROW",0.487185037476138
"elec","live","USA",0.0201635711628114
"elec","live","ROW",0.301454314350622
"elec","fors","USA",0.000155168527271599
"elec","fors","ROW",0.0324844204866395
"elec","food","USA",0.05805416252133
"elec","food","ROW",1.18005284882389
"elec","coal","USA",0.0120342252776027
"elec","coal","ROW",0.0901072339106008
"elec","roil","USA",0.0642557442188263
"elec","roil","ROW",0.919429967281587
"elec","elec","USA",0.0970775559544563
"elec","elec","ROW",3.57886229259771
"elec","eint","USA",0.392698436975479
"elec","eint","ROW",9.03541600367834
"elec","othr","USA",0.261109080689494
"elec","othr","ROW",6.05440071550123
"elec","serv","USA",1.3224546648562
"elec","serv","ROW",10.5206600129271
"elec","tran","USA",0.0552700478583574
"elec","tran","ROW",0.82206229996558
