"ii","rr","rr_1","Val"
"oil","ROW","USA",471.162096957076
"oil","ROW","ROW",1573.70435548061
"gas","USA","ROW",36.8654654263437
"gas","ROW","USA",85.0199035963326
"gas","ROW","ROW",714.805597779616
"coal","USA","ROW",59.086340571733
"coal","ROW","USA",6.67040451464391
"coal","ROW","ROW",624.213684061498
"roil","USA","ROW",153.578743885912
"roil","ROW","USA",116.616373609382
"roil","ROW","ROW",861.012262932896
"elec","USA","ROW",1.28479861080444
"elec","ROW","USA",4.46313370149448
"elec","ROW","ROW",45.032194914387
