"ii","Dim2","rr","Val"
"dwe","c","ROW",0.0492507274646118
"dwe","g","ROW",-0.000435172483786236
"dwe","i","ROW",0.0269140283800486
"dwe","crop","ROW",-0.00105023151656834
"dwe","live","ROW",-0.000977166246152429
"dwe","coal","ROW",-3.62943669578251E-10
"dwe","serv","ROW",1.78703240562649E-14
"dwe","tran","ROW",8.30018384128005E-10
"oil","dwe","ROW",0.000402243164881343
"oil","oil","ROW",1.81157940446452E-8
"oil","gas","USA",2.53561379287083E-6
"oil","gas","ROW",6.2348203341287E-6
"oil","c","ROW",0.0874728390804463
"oil","g","ROW",0.00821240454053418
"oil","i","ROW",2.72861476146997E-6
"oil","crop","ROW",-0.0146066156497053
"oil","live","ROW",0.000785925630959825
"oil","fors","ROW",0.00285119246467648
"oil","food","ROW",-6.30809652340944E-5
"oil","coal","ROW",5.23899494451935E-9
"oil","roil","ROW",3.8789040923786E-11
"oil","elec","ROW",0.00767998809488387
"oil","eint","ROW",0.020687108423953
"oil","othr","ROW",-0.00147169816823335
"oil","serv","ROW",-0.000396747920879861
"oil","tran","ROW",0.00471722062998549
"gas","dwe","ROW",0.00664323976167706
"gas","oil","ROW",7.36862920513558E-9
"gas","gas","ROW",3.77176776218231E-8
"gas","c","USA",0.0240966206315857
"gas","c","ROW",0.224482161147843
"gas","g","ROW",0.0473373196533763
"gas","i","ROW",-0.000164597311629664
"gas","crop","USA",0.0240865139212433
"gas","crop","ROW",0.114185764888806
"gas","live","ROW",0.113169199969921
"gas","fors","USA",0.0194816610568758
"gas","fors","ROW",0.726629213402426
"gas","food","USA",0.0240763651435571
"gas","food","ROW",0.0759720802431109
"gas","coal","ROW",1.71588420588933E-7
"gas","roil","ROW",4.17516846629077E-8
"gas","elec","USA",0.0209327248350272
"gas","elec","ROW",0.12279727923014
"gas","eint","USA",0.0196268225265334
"gas","eint","ROW",0.12038371792206
"gas","othr","USA",0.0232169008951293
"gas","othr","ROW",0.0785492455817667
"gas","serv","USA",0.0238949341860431
"gas","serv","ROW",0.0546978267100722
"gas","tran","USA",0.0102100095046979
"gas","tran","ROW",0.127549535167439
"crop","dwe","ROW",-2.79659181690752E-10
"crop","gas","ROW",5.5231581790442E-11
"crop","c","USA",0.0485120184626745
"crop","c","ROW",0.00818971959087625
"crop","g","USA",0.000265651128246587
"crop","g","ROW",-0.02858567621865
"crop","i","ROW",0.0155901748996548
"crop","crop","USA",-0.0468724600877221
"crop","crop","ROW",-0.0150817952775564
"crop","live","USA",-0.0357305675032949
"crop","live","ROW",-0.00819655651143451
"crop","fors","ROW",-1.19523094613637E-11
"crop","food","ROW",2.28858162586922E-11
"crop","coal","ROW",-1.7974751819416E-8
"crop","elec","ROW",-1.73401866815032E-12
"crop","eint","ROW",5.12908643091371E-11
"crop","othr","ROW",-3.87455318546796E-12
"crop","serv","ROW",-6.36606180267203E-10
"live","dwe","ROW",-6.92922554341202E-8
"live","c","USA",0.0243699278212986
"live","c","ROW",0.0145172128371251
"live","g","ROW",0.00254114609700721
"live","i","ROW",0.0145377060670942
"live","crop","USA",-0.0431413080689913
"live","crop","ROW",-0.00641761913347482
"live","live","USA",-0.0351527076714324
"live","live","ROW",-0.00778311446083217
"live","fors","ROW",-5.54921310612383E-11
"live","food","ROW",-7.06628663178438E-9
"live","eint","ROW",1.07864985918557E-11
"fors","c","USA",0.0290570273383437
"fors","c","ROW",0.0305107337468465
"fors","g","ROW",0.00403185372074655
"fors","i","ROW",0.013844609593966
"fors","crop","USA",-0.0365823470195195
"fors","crop","ROW",-0.0124926547599619
"fors","live","USA",-0.0329084170766538
"fors","live","ROW",-0.00700409610129151
"fors","fors","ROW",-3.72406624677422E-11
"fors","food","ROW",1.89931144182826E-12
"fors","coal","ROW",1.37130369032693E-11
"fors","roil","ROW",2.31426641738067E-7
"fors","othr","ROW",-4.81812650924817E-12
"food","dwe","ROW",1.47520788981002E-11
"food","gas","ROW",2.77839778873689E-10
"food","c","USA",0.0994214619399667
"food","c","ROW",0.12491450199344
"food","g","ROW",0.0100351080020764
"food","i","ROW",0.00420283356765481
"food","crop","USA",-0.0200000159425298
"food","crop","ROW",-0.013057141023826
"food","live","USA",-0.0334676215502037
"food","live","ROW",-0.0109657754108528
"food","food","ROW",-3.33257137773531E-11
"food","coal","ROW",-5.06334933900391E-10
"food","roil","ROW",6.76227345884696E-10
"food","elec","ROW",-2.12493714380467E-11
"food","eint","ROW",1.8951472607107E-10
"food","othr","ROW",4.84615673849336E-10
"food","serv","ROW",4.00799301528755E-9
"food","tran","ROW",-1.75230296868567E-9
"coal","dwe","ROW",-0.0266570399100849
"coal","oil","ROW",1.96099809992661E-7
"coal","gas","ROW",1.57007407761339E-8
"coal","c","USA",0.0588232743871517
"coal","c","ROW",0.28617008368816
"coal","g","ROW",0.0168001336819714
"coal","i","ROW",-0.000366599256487634
"coal","crop","ROW",0.0880032373518767
"coal","live","ROW",0.09511115061364
"coal","fors","ROW",0.152089678824247
"coal","food","ROW",0.0898463664945873
"coal","coal","USA",2.30824180835754E-6
"coal","coal","ROW",4.10014079568516E-9
"coal","roil","ROW",2.76119838940815E-8
"coal","elec","USA",0.000682730174349278
"coal","elec","ROW",0.0729650509132561
"coal","eint","USA",3.87309454681916E-5
"coal","eint","ROW",0.0969656509244413
"coal","othr","USA",0.000174457916307738
"coal","othr","ROW",0.0957893427463444
"coal","serv","ROW",0.117682261389644
"coal","tran","ROW",0.0918941942419769
"roil","dwe","ROW",6.82926983152504E-5
"roil","oil","ROW",-3.19449465217716E-6
"roil","gas","ROW",-1.19957140792267E-6
"roil","c","USA",0.192824644900484
"roil","c","ROW",0.54199249408043
"roil","g","ROW",0.0583238256433609
"roil","crop","USA",0.166373243577962
"roil","crop","ROW",0.222723757226589
"roil","live","USA",0.166373294812385
"roil","live","ROW",0.206745873873247
"roil","fors","USA",0.166373362980559
"roil","fors","ROW",0.158642614757973
"roil","food","USA",0.166373134705686
"roil","food","ROW",0.196412897866417
"roil","coal","ROW",5.55087548165016E-9
"roil","roil","ROW",2.00393817153173E-8
"roil","elec","USA",0.035294421984484
"roil","elec","ROW",0.0989531008024009
"roil","eint","USA",0.166373542805897
"roil","eint","ROW",0.173845220219048
"roil","othr","USA",0.162102005648021
"roil","othr","ROW",0.15382354758844
"roil","serv","USA",0.159831573747508
"roil","serv","ROW",0.216048426641841
"roil","tran","USA",0.166372085286288
"roil","tran","ROW",0.239712504461612
"elec","dwe","ROW",0.00225497594269276
"elec","oil","USA",0.0318746187491965
"elec","oil","ROW",0.0765880266211366
"elec","gas","USA",0.0318742685556104
"elec","gas","ROW",0.0810442762652667
"elec","c","USA",0.0318758150235892
"elec","c","ROW",0.198329534194629
"elec","g","ROW",-0.0334816256981626
"elec","i","ROW",0.0200536902797211
"elec","crop","USA",0.0318745830199324
"elec","crop","ROW",-0.0155087152282804
"elec","live","USA",0.0318572019676027
"elec","live","ROW",0.0784430560941914
"elec","fors","USA",0.0318742938138723
"elec","fors","ROW",0.073802871991229
"elec","food","USA",0.0318747171669392
"elec","food","ROW",0.0824977199580253
"elec","coal","USA",0.0318740414300398
"elec","coal","ROW",0.0499610253007547
"elec","roil","USA",0.0318746103803416
"elec","roil","ROW",0.0993054702052902
"elec","elec","USA",0.0318748123138008
"elec","elec","ROW",0.012850921396853
"elec","eint","USA",0.0318744417852841
"elec","eint","ROW",0.0718907730379033
"elec","othr","USA",0.0318745482370482
"elec","othr","ROW",0.065268962673421
"elec","serv","USA",0.0318746643575028
"elec","serv","ROW",0.0749074599621167
"elec","tran","USA",0.0318746700961891
"elec","tran","ROW",0.0855595736598923
"eint","oil","ROW",9.6268153474564E-8
"eint","gas","ROW",-4.09434092138452E-9
"eint","c","USA",0.0591284386765094
"eint","c","ROW",0.128340635601757
"eint","g","ROW",0.0119682136468211
"eint","i","USA",0.00556000558126607
"eint","i","ROW",0.0359683602529669
"eint","crop","USA",-0.0461078473534028
"eint","crop","ROW",-0.0146609274364904
"eint","live","USA",-0.031815671939724
"eint","live","ROW",-0.00808822133952341
"eint","fors","ROW",3.22134108612153E-11
"eint","food","ROW",6.41235172035254E-11
"eint","coal","ROW",-2.9610547237751E-10
"eint","roil","ROW",3.88699745834743E-10
"eint","eint","ROW",2.05099755773684E-10
"eint","othr","ROW",7.0605851279676E-12
"eint","serv","ROW",-2.04002900937003E-10
"eint","tran","ROW",1.95411432109963E-11
"othr","dwe","ROW",6.4333750043118E-12
"othr","oil","ROW",1.27743662846259E-8
"othr","gas","ROW",6.37428514989795E-10
"othr","c","USA",0.0748275404760384
"othr","c","ROW",0.117657171432926
"othr","g","ROW",0.0108444971256445
"othr","i","USA",0.00615962314029435
"othr","i","ROW",0.0313289399824396
"othr","crop","USA",-0.0463715737223473
"othr","crop","ROW",-0.0102887144359555
"othr","live","USA",-0.0282592313056869
"othr","live","ROW",-0.00410987886531194
"othr","fors","ROW",3.59582949883902E-10
"othr","food","ROW",-1.04430413568307E-10
"othr","coal","ROW",-3.24684145592274E-10
"othr","roil","ROW",5.01064968159229E-10
"othr","elec","ROW",-1.72508257330899E-11
"othr","eint","ROW",1.14997385533865E-10
"othr","othr","ROW",-2.56595026685176E-11
"othr","serv","ROW",-4.66286096143937E-10
"othr","tran","ROW",-7.36305877387509E-12
"serv","dwe","ROW",-2.09444783403821E-12
"serv","oil","ROW",5.73733732953901E-9
"serv","gas","ROW",1.42558600627131E-9
"serv","c","USA",0.00754343979508887
"serv","c","ROW",0.0514644865098429
"serv","g","ROW",0.00247335715504542
"serv","i","USA",0.00225571047877279
"serv","i","ROW",0.0317768107576782
"serv","crop","USA",-0.0462091729062777
"serv","crop","ROW",-0.0114109427207776
"serv","live","USA",-0.03338455825828
"serv","live","ROW",-0.00619644329255998
"serv","fors","ROW",6.86017938214773E-10
"serv","food","ROW",7.75059514236041E-12
"serv","coal","ROW",-2.62909002021471E-10
"serv","roil","ROW",8.54988224701405E-11
"serv","elec","ROW",1.00785618392909E-11
"serv","eint","ROW",1.98544097044381E-10
"serv","othr","ROW",-1.66930809660665E-11
"serv","serv","ROW",1.26555007403647E-10
"serv","tran","ROW",3.89186008391954E-11
"tran","oil","ROW",5.50095967012256E-9
"tran","gas","ROW",3.08789903371004E-11
"tran","c","USA",0.000618330350707299
"tran","c","ROW",0.0240291698510292
"tran","g","ROW",0.0113470816939157
"tran","i","ROW",0.00452837669607987
"tran","crop","USA",-0.0466255283650187
"tran","crop","ROW",-0.0130201002619324
"tran","live","USA",-0.0330062953899161
"tran","live","ROW",-0.00713486872523026
"tran","food","ROW",-8.46013322029362E-11
"tran","coal","ROW",3.10224682512165E-12
"tran","roil","ROW",3.72921167993322E-11
"tran","elec","ROW",6.9459655239128E-12
"tran","eint","ROW",4.46737218602375E-11
"tran","othr","ROW",-6.74543939977786E-11
"tran","serv","ROW",9.65229063503186E-11
"tran","tran","ROW",3.23881564882814E-11
