"ii","Dim2","rr","Val"
"oil","oil","ROW",1.50278610885467E-7
"oil","gas","ROW",-1.33139808824209E-8
"oil","c","ROW",0.163389205252497
"oil","food","ROW",-0.00729802432789284
"oil","coal","ROW",2.1413590383215E-5
"oil","elec","ROW",-0.0006269199550769
"oil","eint","ROW",0.00761234111262158
"oil","othr","ROW",0.00188663147965636
"oil","serv","ROW",-0.000461260892952528
"oil","tran","ROW",0.00284533294156814
"gas","dwe","ROW",0.0435649805286599
"gas","oil","ROW",5.20394180123663E-8
"gas","gas","ROW",2.83830001613191E-6
"gas","c","ROW",0.539139300272497
"gas","g","ROW",0.199297499957089
"gas","crop","ROW",0.0845435511970533
"gas","live","ROW",0.0639084643383584
"gas","fors","ROW",0.0548079509908364
"gas","food","USA",0.000657096348632136
"gas","food","ROW",0.117459478887776
"gas","coal","ROW",1.65434554353411E-6
"gas","roil","ROW",1.62337738288221E-7
"gas","elec","USA",0.00065635804960735
"gas","elec","ROW",0.0285425098469042
"gas","eint","USA",0.00244383544091383
"gas","eint","ROW",0.113384945776476
"gas","othr","USA",3.62263300213278E-5
"gas","othr","ROW",0.113103015512808
"gas","serv","USA",0.00103016606055619
"gas","serv","ROW",0.113364046940021
"gas","tran","USA",0.00300804189931412
"gas","tran","ROW",0.10953201421596
"crop","gas","ROW",-1.18969437010284E-8
"crop","c","USA",0.0653498624850871
"crop","c","ROW",0.018344398517956
"crop","g","ROW",-0.0147658312047863
"crop","i","ROW",-0.00482320006249941
"crop","crop","USA",-0.0472346935253544
"crop","crop","ROW",-0.00857034440830281
"crop","live","USA",-0.034838338936365
"crop","live","ROW",-0.0105931856341836
"crop","fors","ROW",2.79599369196042E-8
"crop","food","ROW",2.56698683670933E-9
"crop","coal","ROW",7.96762503353082E-9
"crop","roil","ROW",2.39356678542572E-6
"crop","eint","ROW",7.08909681729884E-10
"crop","othr","ROW",2.37885022012352E-10
"crop","serv","ROW",2.39001725992075E-8
"crop","tran","ROW",-7.65225659484369E-11
"live","oil","ROW",5.07546663775724E-10
"live","c","USA",0.0376845560485197
"live","c","ROW",0.0793258408303407
"live","g","ROW",0.0283236250027835
"live","i","ROW",0.0729581617492511
"live","crop","USA",-0.0358206211963508
"live","crop","ROW",-0.0227391755529229
"live","live","USA",-0.0337677829562284
"live","live","ROW",-0.00675693761210052
"live","fors","ROW",4.69251199187424E-10
"live","food","ROW",4.47939214801938E-9
"live","eint","ROW",1.20087330571952E-11
"live","othr","ROW",1.39251025373304E-9
"live","serv","ROW",2.80693490001116E-9
"live","tran","ROW",1.76900225126128E-9
"fors","c","USA",0.0296157625364932
"fors","c","ROW",0.0429815939551445
"fors","g","ROW",0.0396311689949454
"fors","i","ROW",0.00545214460851835
"fors","crop","ROW",-0.00540679687775889
"fors","live","ROW",-0.00240230022673103
"fors","food","ROW",5.34856475009801E-11
"fors","coal","ROW",3.3393600427265E-11
"fors","roil","ROW",7.64980316044056E-10
"fors","elec","ROW",9.1964863574241E-11
"fors","eint","ROW",2.3489872875569E-11
"fors","othr","ROW",8.49354313090716E-12
"fors","serv","ROW",-3.79121772586458E-11
"fors","tran","ROW",8.93341981149067E-9
"food","dwe","ROW",-6.68498635444039E-8
"food","oil","ROW",-6.93103109255932E-10
"food","gas","ROW",-2.94387314193032E-8
"food","c","USA",0.0639193278460476
"food","c","ROW",0.144988524499031
"food","g","ROW",0.00499297271012491
"food","i","ROW",0.00293621340142778
"food","crop","USA",-0.0434261677860725
"food","crop","ROW",-0.00391725401006734
"food","live","USA",-0.034498207349909
"food","live","ROW",-0.00416408576473313
"food","fors","ROW",2.81190931838598E-8
"food","food","ROW",4.03844557920614E-9
"food","coal","ROW",-6.52647904615259E-8
"food","roil","ROW",1.24025310068572E-8
"food","elec","ROW",4.38740999455028E-9
"food","eint","ROW",-5.44527836141628E-9
"food","othr","ROW",3.30556265583637E-9
"food","serv","ROW",3.86908272974403E-9
"food","tran","ROW",7.03289462134281E-9
"coal","dwe","ROW",-0.0152269017911554
"coal","oil","ROW",2.04592095167739E-6
"coal","gas","ROW",-7.71375592600349E-8
"coal","c","ROW",0.26547095809445
"coal","g","ROW",0.0204886223841876
"coal","crop","ROW",0.103836256124264
"coal","live","ROW",0.120407916671114
"coal","fors","ROW",0.625852680788897
"coal","food","USA",0.000116951849904855
"coal","food","ROW",0.108677791344442
"coal","coal","ROW",9.67894077482359E-8
"coal","roil","ROW",5.07045495851745E-10
"coal","elec","USA",0.000830263824424638
"coal","elec","ROW",0.0377548342392177
"coal","eint","USA",0.000451487471336609
"coal","eint","ROW",0.0813470264654969
"coal","othr","USA",0.000791309936605027
"coal","othr","ROW",0.0861216936347288
"coal","serv","USA",0.000280495342735885
"coal","serv","ROW",0.104034761981846
"coal","tran","ROW",0.0676213273710693
