"ii","rr","ss","Val"
"oil","ROW","USA",0.000476525118192732
"oil","ROW","ROW",0.00323641561060139
"gas","USA","ROW",0.000843751260516493
"gas","ROW","ROW",0.00277654908375434
"crop","USA","ROW",0.167846525228311
"crop","ROW","USA",0.00621781033765151
"crop","ROW","ROW",0.064464593505052
"live","USA","ROW",0.0476505663325433
"live","ROW","USA",0.00194333371556527
"live","ROW","ROW",0.0486414579146055
"fors","USA","ROW",0.00416936982597883
"fors","ROW","USA",0.00252470344282646
"fors","ROW","ROW",0.0101628531797479
"food","USA","ROW",0.153037940095138
"food","ROW","USA",0.021140066754179
"food","ROW","ROW",0.0864814647356807
"coal","USA","ROW",0.00281412540116249
"coal","ROW","ROW",0.00500868319423619
"roil","USA","ROW",0.0172437216224563
"roil","ROW","USA",0.0084955728039725
"roil","ROW","ROW",0.0187881693333485
"elec","USA","ROW",2.80660410897584E-5
"elec","ROW","ROW",0.000543276374407015
"eint","USA","ROW",0.024488343181033
"eint","ROW","USA",0.0104006299678535
"eint","ROW","ROW",0.0234316957413307
"othr","USA","ROW",0.0237181096236331
"othr","ROW","USA",0.0173379563186232
"othr","ROW","ROW",0.0325230964601933
