"Dim1","rr","Val"
"dwe","USA",0.168732438423284
"dwe","ROW",0.0273145052161643
"oil","USA",0.0459117618468722
"oil","ROW",0.0220703628730665
"gas","USA",0.0389757256450857
"gas","ROW",0.0391258411180895
"crop","USA",-0.000310979428840454
"crop","ROW",-0.00741848427921693
"live","USA",0.000997980553591699
"live","ROW",0.00331147691624834
"fors","USA",0.0522288613639461
"fors","ROW",0.00384612868633231
"food","USA",0.00824030805010806
"food","ROW",0.0252033608013577
"coal","USA",0.0872011125700874
"coal","ROW",-0.0271003076413904
"roil","USA",0.025884796420376
"roil","ROW",0.0845733385398206
"elec","USA",0.034102493044745
"elec","ROW",0.0194309021463607
"eint","USA",0.00786185060463955
"eint","ROW",0.0111082815566151
"othr","USA",0.00751449430104113
"othr","ROW",0.0133463121001875
"serv","USA",0.019613424096581
"serv","ROW",0.00882313366695786
"tran","USA",-0.0289509744386203
"tran","ROW",0.00750951473062054
