"ii","Dim2","rr","Val"
"dwe","dwe","USA",0.00260108518600464
"dwe","dwe","ROW",6.40316784845816
"dwe","oil","USA",0.000723812113532153
"dwe","oil","ROW",0.534721107840576
"dwe","gas","USA",5.3100781253761E-5
"dwe","gas","ROW",0.0392362036068678
"dwe","c","USA",1532.87546040653
"dwe","c","ROW",3496.40096036706
"dwe","g","USA",0.00308805324060276
"dwe","g","ROW",4.66135865372076
"dwe","i","USA",0.000342037357751187
"dwe","i","ROW",1.84870667232932
"dwe","crop","USA",0.000377157684871271
"dwe","crop","ROW",1.21837856027423
"dwe","live","USA",4.76445577032974E-5
"dwe","live","ROW",0.217044597407217
"dwe","fors","USA",8.02783362124956E-7
"dwe","fors","ROW",0.0198361603450171
"dwe","food","USA",0.000633793395869228
"dwe","food","ROW",2.55871762986852
"dwe","coal","USA",0.000901928877245591
"dwe","coal","ROW",0.165012987164746
"dwe","roil","USA",3.20531489271412E-5
"dwe","roil","ROW",0.145373513357414
"dwe","elec","USA",7.35084799007374E-5
"dwe","elec","ROW",0.193286456420676
"dwe","eint","USA",0.00142484304180503
"dwe","eint","ROW",7.97835672844335
"dwe","othr","USA",0.00346310014982615
"dwe","othr","ROW",16.2616658657902
"dwe","serv","USA",3.18442901514772
"dwe","serv","ROW",78.1706270807518
"dwe","tran","USA",0.000805659755326401
"dwe","tran","ROW",5.74555697216159
"oil","dwe","ROW",0.000890801732129929
"oil","oil","USA",0.0194370040893555
"oil","oil","ROW",2.01270473530464
"oil","gas","USA",0.117538518133496
"oil","gas","ROW",1.2434622931374
"oil","c","USA",3.5583383561482E-5
"oil","c","ROW",0.0810065443890104
"oil","g","ROW",6.18668411164814E-5
"oil","i","USA",0.00015204663722361
"oil","i","ROW",0.0192874798067779
"oil","crop","USA",6.4455940027803E-7
"oil","crop","ROW",0.00762357648574791
"oil","live","USA",5.20620663296387E-7
"oil","live","ROW",0.00311431757031818
"oil","fors","USA",2.54904527627011E-6
"oil","fors","ROW",0.0085192016850416
"oil","food","USA",4.89947040313799E-5
"oil","food","ROW",0.206835880539447
"oil","coal","USA",4.80738312946934E-6
"oil","coal","ROW",0.00303911972872097
"oil","roil","USA",221.903336521693
"oil","roil","ROW",854.930041764006
"oil","elec","USA",0.011514808408169
"oil","elec","ROW",21.2777866471272
"oil","eint","USA",0.019859729756673
"oil","eint","ROW",4.79334287477022
"oil","othr","USA",0.000844047703650276
"oil","othr","ROW",0.964750862374994
"oil","serv","USA",0.000401535847271238
"oil","serv","ROW",0.130702512013571
"oil","tran","USA",0.00995804788146574
"oil","tran","ROW",0.0671436316688936
"gas","dwe","USA",0.00290560842017487
"gas","dwe","ROW",0.00245575655231037
"gas","oil","USA",1.58856916226146
"gas","oil","ROW",11.3611891353987
"gas","gas","USA",5.044223758988
"gas","gas","ROW",22.7126465125432
"gas","c","USA",18.6878655169119
"gas","c","ROW",55.7301749345483
