"ii","Dim2","rr","Val"
"oil","dwe","ROW",0.000686134385272028
"oil","oil","USA",0.00362495435660238
"oil","oil","ROW",1.2809259401995
"oil","gas","USA",0.00617495485388364
"oil","gas","ROW",0.144393122058974
"oil","c","USA",3.99847689653904E-5
"oil","c","ROW",0.0677561427312117
"oil","i","ROW",0.000673020895594339
"oil","crop","ROW",0.000528350532076816
"oil","live","ROW",0.000220015717437111
"oil","fors","ROW",3.02521962676124E-5
"oil","food","USA",4.20224646072173E-5
"oil","food","ROW",0.0404660538977232
"oil","coal","USA",5.39085168868004E-7
"oil","coal","ROW",0.00111525294353264
"oil","roil","USA",323.998192020663
"oil","roil","ROW",1227.60773204922
"oil","elec","USA",0.00153227215025575
"oil","elec","ROW",8.58644228569522
"oil","eint","USA",0.019860320837958
"oil","eint","ROW",1.13144653639991
"oil","othr","USA",0.00053124197102397
"oil","othr","ROW",0.183501647226726
"oil","serv","USA",0.00207495256641113
"oil","serv","ROW",0.216350768871924
"oil","tran","USA",0.000887294101566826
"oil","tran","ROW",0.0167288874224868
"gas","dwe","ROW",0.00188007519817778
"gas","oil","USA",0.480163429077525
"gas","oil","ROW",4.08269309747835
"gas","gas","USA",0.974729175942824
"gas","gas","ROW",7.90198022245928
"gas","c","USA",0.293255309872066
"gas","c","ROW",28.8613915947175
"gas","g","ROW",0.000508226018408154
"gas","i","ROW",0.00068248183698217
"gas","crop","USA",0.0028505772354858
"gas","crop","ROW",0.939854093378665
"gas","live","USA",0.00104036198074182
"gas","live","ROW",0.395991771757331
"gas","fors","USA",0.000484747209758503
"gas","fors","ROW",0.145420699045368
"gas","food","USA",0.0245573916137129
"gas","food","ROW",5.88539061473543
"gas","coal","USA",0.00148591041389035
"gas","coal","ROW",0.0129260248601684
"gas","roil","USA",9.20035664166181
"gas","roil","ROW",17.603323364601
"gas","elec","USA",2.07404500914641
"gas","elec","ROW",127.913211814375
"gas","eint","USA",3.53326537125852
"gas","eint","ROW",50.4832152241435
"gas","othr","USA",0.102686036490396
"gas","othr","ROW",10.4742418608929
"gas","serv","USA",0.682833613968659
"gas","serv","ROW",28.1291098523425
"gas","tran","USA",0.290703942388962
"gas","tran","ROW",6.00932919815534
"crop","dwe","USA",0.0292910279192032
"crop","dwe","ROW",0.132270953456165
"crop","oil","USA",0.000533856183382933
"crop","oil","ROW",0.0221144406876931
"crop","gas","USA",0.000252650425610695
"crop","gas","ROW",0.350413136988619
"crop","c","USA",17.2205018362122
"crop","c","ROW",143.065685234675
"crop","g","USA",0.00123724572065109
"crop","g","ROW",0.637189843331631
"crop","i","USA",0.00289616799134147
"crop","i","ROW",2.82493579291203
"crop","crop","USA",0.883714993196093
"crop","crop","ROW",12.981762349916
"crop","live","USA",0.359580182243664
"crop","live","ROW",29.0145437762516
"crop","fors","USA",0.0278516477276024
"crop","fors","ROW",0.498519429945566
"crop","food","USA",14.0615302445588
"crop","food","ROW",195.18079987694
"crop","coal","USA",0.000130752830889181
