"ii","rr","ss","Val"
"oil","ROW","USA",308.141714486404
"oil","ROW","ROW",1136.11119785106
"gas","USA","ROW",6.37715314610814
"gas","ROW","USA",16.7181515314499
"gas","ROW","ROW",214.554204451831
"crop","USA","ROW",78.5889809188555
"crop","ROW","USA",33.2296673376412
"crop","ROW","ROW",299.275254591065
"live","USA","ROW",6.07592776013043
"live","ROW","USA",6.15294355887297
"live","ROW","ROW",57.6278716389432
"fors","USA","ROW",2.39797096778662
"fors","ROW","USA",0.531586111370125
"fors","ROW","ROW",19.0282309699946
"food","USA","ROW",73.1768772284731
"food","ROW","USA",85.3377997405677
"food","ROW","ROW",752.082967607208
"coal","USA","ROW",12.6224755561414
"coal","ROW","USA",1.10348571410833
"coal","ROW","ROW",114.814391969627
"roil","USA","ROW",126.550450572927
"roil","ROW","USA",81.6770628809784
"roil","ROW","ROW",632.442762747174
"elec","USA","ROW",1.01894809763855
"elec","ROW","USA",3.84023997923557
"elec","ROW","ROW",50.8769843824306
"eint","USA","ROW",428.75313641335
"eint","ROW","USA",447.891640571984
"eint","ROW","ROW",3397.58794658426
"othr","USA","ROW",683.124994252894
"othr","ROW","USA",1171.45501312099
"othr","ROW","ROW",5727.42220366238
"serv","USA","ROW",341.869058999658
"serv","ROW","USA",285.010789486903
"serv","ROW","ROW",1733.23415644843
"tran","USA","ROW",74.8080436993651
"tran","ROW","USA",95.1917433896181
"tran","ROW","ROW",618.376919300102
